County,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
"Anderson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"77,337","68,460","2,446",258,"1,017",62,"1,007","2,661"
    Percent Distribution,,,,,,,,
        Estimate,"77,337",88.50%,3.20%,0.30%,1.30%,0.10%,1.30%,3.40%
    Mean income (dollars),,,,,,,,
        Estimate,"32,803","33,933","26,628","12,766","37,743",N,"23,033","21,619"
"Bedford County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"50,533","41,327","3,267",513,169,0,"1,588","6,857"
    Percent Distribution,,,,,,,,
        Estimate,"50,533",81.80%,6.50%,1.00%,0.30%,0.00%,3.10%,13.60%
    Mean income (dollars),,,,,,,,
        Estimate,"28,520","30,066","27,722","2,574","16,502",-,"12,323","18,131"
"Benton County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"15,933","14,836",304,18,170,123,0,289
    Percent Distribution,,,,,,,,
        Estimate,"15,933",93.10%,1.90%,0.10%,1.10%,0.80%,0.00%,1.80%
    Mean income (dollars),,,,,,,,
        Estimate,"27,185","27,216","41,275",N,"19,245",N,-,"10,208"
"Bledsoe County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"14,816","13,226",845,45,20,0,69,448
    Percent Distribution,,,,,,,,
        Estimate,"14,816",89.30%,5.70%,0.30%,0.10%,0.00%,0.50%,3.00%
    Mean income (dollars),,,,,,,,
        Estimate,"24,241","25,483","12,425","9,989",N,-,"12,257","21,487"
"Blount County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"135,951","124,296","3,589",104,"1,034",36,827,"5,234"
    Percent Distribution,,,,,,,,
        Estimate,"135,951",91.40%,2.60%,0.10%,0.80%,0.00%,0.60%,3.80%
    Mean income (dollars),,,,,,,,
        Estimate,"36,376","36,984","36,611","26,445","45,122",N,"16,032","20,025"
"Bradley County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"108,859","94,075","5,263",237,"1,075",0,"3,175","7,506"
    Percent Distribution,,,,,,,,
        Estimate,"108,859",86.40%,4.80%,0.20%,1.00%,0.00%,2.90%,6.90%
    Mean income (dollars),,,,,,,,
        Estimate,"31,121","31,840","22,146","34,213","86,235",-,"19,398","22,720"
"Campbell County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"39,397","37,935",117,22,182,0,211,661
    Percent Distribution,,,,,,,,
        Estimate,"39,397",96.30%,0.30%,0.10%,0.50%,0.00%,0.50%,1.70%
    Mean income (dollars),,,,,,,,
        Estimate,"26,791","26,962","13,440","17,641","19,338",-,"24,835","17,500"
"Cannon County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"14,481","13,670",359,31,0,2,100,397
    Percent Distribution,,,,,,,,
        Estimate,"14,481",94.40%,2.50%,0.20%,0.00%,0.00%,0.70%,2.70%
    Mean income (dollars),,,,,,,,
        Estimate,"30,234","30,069","26,052","78,116",-,-,"25,983","27,135"
"Carroll County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"28,381","24,378","2,520",31,87,0,172,881
    Percent Distribution,,,,,,,,
        Estimate,"28,381",85.90%,8.90%,0.10%,0.30%,0.00%,0.60%,3.10%
    Mean income (dollars),,,,,,,,
        Estimate,"26,818","28,260","20,241","21,929","16,105",-,"31,789","16,999"
"Carter County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"56,315","53,105","1,221",106,259,19,291,"1,526"
    Percent Distribution,,,,,,,,
        Estimate,"56,315",94.30%,2.20%,0.20%,0.50%,0.00%,0.50%,2.70%
    Mean income (dollars),,,,,,,,
        Estimate,"28,321","28,836","16,816","17,544","33,936",N,"16,507","19,388"
"Cheatham County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"41,184","37,902",789,102,219,15,713,"1,580"
    Percent Distribution,,,,,,,,
        Estimate,"41,184",92.00%,1.90%,0.20%,0.50%,0.00%,1.70%,3.80%
    Mean income (dollars),,,,,,,,
        Estimate,"35,852","36,556","39,551","22,548","28,172",N,"26,165","25,420"
"Chester County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"17,392","14,988","1,795",0,30,0,156,511
    Percent Distribution,,,,,,,,
        Estimate,"17,392",86.20%,10.30%,0.00%,0.20%,0.00%,0.90%,2.90%
    Mean income (dollars),,,,,,,,
        Estimate,"24,788","25,802","19,027",-,N,-,"26,123","11,176"
"Claiborne County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"32,092","30,497",272,19,317,0,17,482
    Percent Distribution,,,,,,,,
        Estimate,"32,092",95.00%,0.80%,0.10%,1.00%,0.00%,0.10%,1.50%
    Mean income (dollars),,,,,,,,
        Estimate,"25,408","25,865","15,482","20,026","18,706",-,N,"21,696"
"Clay County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"7,592","7,154",53,29,43,0,162,211
    Percent Distribution,,,,,,,,
        Estimate,"7,592",94.20%,0.70%,0.40%,0.60%,0.00%,2.10%,2.80%
    Mean income (dollars),,,,,,,,
        Estimate,"22,931","23,344","14,304",N,N,-,N,"10,902"
"Cocke County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"36,186","34,045",433,227,172,42,92,"1,029"
    Percent Distribution,,,,,,,,
        Estimate,"36,186",94.10%,1.20%,0.60%,0.50%,0.10%,0.30%,2.80%
    Mean income (dollars),,,,,,,,
        Estimate,"25,864","25,883","19,439","14,905","8,373",N,"27,337","19,788"
"Coffee County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"58,080","51,466","2,249",14,747,125,959,"3,030"
    Percent Distribution,,,,,,,,
        Estimate,"58,080",88.60%,3.90%,0.00%,1.30%,0.20%,1.70%,5.20%
    Mean income (dollars),,,,,,,,
        Estimate,"29,277","30,485","17,513",N,"32,435","27,740","21,017","19,610"
"Crockett County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"13,955","10,419","1,544",88,65,8,535,"1,610"
    Percent Distribution,,,,,,,,
        Estimate,"13,955",74.70%,11.10%,0.60%,0.50%,0.10%,3.80%,11.50%
    Mean income (dollars),,,,,,,,
        Estimate,"30,362","31,526","38,246",N,"58,443",N,"16,329","19,077"
"Cumberland County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"61,552","58,492",574,101,165,516,189,"1,982"
    Percent Distribution,,,,,,,,
        Estimate,"61,552",95.00%,0.90%,0.20%,0.30%,0.80%,0.30%,3.20%
    Mean income (dollars),,,,,,,,
        Estimate,"30,952","31,594","11,874","17,360","19,601",N,"32,170","14,982"
"Davidson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"709,786","423,888","186,862",965,"25,506",358,"27,028","75,237"
    Percent Distribution,,,,,,,,
        Estimate,"709,786",59.70%,26.30%,0.10%,3.60%,0.10%,3.80%,10.60%
    Mean income (dollars),,,,,,,,
        Estimate,"45,951","56,314","29,626","48,440","46,621","37,086","19,489","22,652"
"Decatur County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"11,483","10,560",270,8,12,0,48,408
    Percent Distribution,,,,,,,,
        Estimate,"11,483",92.00%,2.40%,0.10%,0.10%,0.00%,0.40%,3.60%
    Mean income (dollars),,,,,,,,
        Estimate,"27,578","28,749","21,873",N,N,-,N,"8,696"
"DeKalb County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"20,209","18,366",350,61,122,0,546,"1,697"
    Percent Distribution,,,,,,,,
        Estimate,"20,209",90.90%,1.70%,0.30%,0.60%,0.00%,2.70%,8.40%
    Mean income (dollars),,,,,,,,
        Estimate,"27,684","28,389","15,573",-,"14,216",-,"18,055","17,539"
"Dickson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"54,563","49,230","2,155",98,48,0,623,"2,301"
    Percent Distribution,,,,,,,,
        Estimate,"54,563",90.20%,3.90%,0.20%,0.10%,0.00%,1.10%,4.20%
    Mean income (dollars),,,,,,,,
        Estimate,"33,582","34,900","26,006","30,711","6,715",-,"26,482","22,175"
"Dyer County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"36,818","29,118","4,889",38,166,12,424,"1,382"
    Percent Distribution,,,,,,,,
        Estimate,"36,818",79.10%,13.30%,0.10%,0.50%,0.00%,1.20%,3.80%
    Mean income (dollars),,,,,,,,
        Estimate,"37,415","36,988","22,459","24,355","35,701",N,"59,472","120,891"
"Fayette County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"42,228","28,419","11,411",133,279,0,835,"1,335"
    Percent Distribution,,,,,,,,
        Estimate,"42,228",67.30%,27.00%,0.30%,0.70%,0.00%,2.00%,3.20%
    Mean income (dollars),,,,,,,,
        Estimate,"40,613","47,834","25,767","9,856","50,808",-,"26,546","23,551"
"Fentress County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"18,642","17,874",60,43,60,12,67,344
    Percent Distribution,,,,,,,,
        Estimate,"18,642",95.90%,0.30%,0.20%,0.30%,0.10%,0.40%,1.80%
    Mean income (dollars),,,,,,,,
        Estimate,"24,595","24,836","12,503",N,"11,753",N,"43,621","18,115"
"Franklin County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"42,980","38,296","2,102",88,246,33,684,"1,614"
    Percent Distribution,,,,,,,,
        Estimate,"42,980",89.10%,4.90%,0.20%,0.60%,0.10%,1.60%,3.80%
    Mean income (dollars),,,,,,,,
        Estimate,"31,395","31,854","26,504","32,874","31,102",N,"23,599","21,234"
"Gibson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"50,455","38,755","8,061",127,136,8,725,"1,525"
    Percent Distribution,,,,,,,,
        Estimate,"50,455",76.80%,16.00%,0.30%,0.30%,0.00%,1.40%,3.00%
    Mean income (dollars),,,,,,,,
        Estimate,"27,742","29,557","23,410","28,394","36,731",N,"19,525","16,346"
"Giles County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"30,317","25,589","2,772",77,32,0,381,"1,001"
    Percent Distribution,,,,,,,,
        Estimate,"30,317",84.40%,9.10%,0.30%,0.10%,0.00%,1.30%,3.30%
