County,Total population,White Number,White perc,White median income,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
"Anderson County, Tennessee",,"68,537",87.70%,"36,686",,,,,,
    Number,,,,,,,,,,
        Estimate,"78,175",,,,"2,641",251,"1,084",80,"1,035","3,000"
    Percent Distribution,,,,,,,,,,
        Estimate,"78,175",,,,3.40%,0.30%,1.40%,0.10%,1.30%,3.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"35,460",,,,"29,889","30,179","37,137",N,"25,049","24,232"
"Bedford County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"51,291","40,832",,,"3,661",617,382,0,"1,496","7,968"
    Percent Distribution,,,,,,,,,,
        Estimate,"51,291",79.60%,,,7.10%,1.20%,0.70%,0.00%,2.90%,15.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,468","31,565",,,"25,255","1,817","29,636",-,"12,756","18,149"
"Benton County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"15,948","14,754",,,289,47,145,85,25,430
    Percent Distribution,,,,,,,,,,
        Estimate,"15,948",92.50%,,,1.80%,0.30%,0.90%,0.50%,0.20%,2.70%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,169","28,768",,,"32,792",N,"14,368",N,N,"11,259"
"Bledsoe County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"14,905","13,197",,,815,41,8,0,97,495
    Percent Distribution,,,,,,,,,,
        Estimate,"14,905",88.50%,,,5.50%,0.30%,0.10%,0.00%,0.70%,3.30%
    Mean income (dollars),,,,,,,,,,
        Estimate,"23,547","24,591",,,"15,299","7,800",-,-,"22,072","20,882"
"Blount County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"137,747","124,541",,,"3,573",108,"1,067",51,"1,179","6,097"
    Percent Distribution,,,,,,,,,,
        Estimate,"137,747",90.40%,,,2.60%,0.10%,0.80%,0.00%,0.90%,4.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"38,705","39,378",,,"34,682","32,031","63,539","45,722","21,733","27,187"
"Bradley County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"109,743","93,195",,,"5,670",187,"1,194",10,"3,207","8,827"
    Percent Distribution,,,,,,,,,,
        Estimate,"109,743",84.90%,,,5.20%,0.20%,1.10%,0.00%,2.90%,8.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"32,249","33,190",,,"20,418","63,891","84,073",-,"22,240","23,217"
"Campbell County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"39,568","38,023",,,134,58,164,15,176,576
    Percent Distribution,,,,,,,,,,
        Estimate,"39,568",96.10%,,,0.30%,0.10%,0.40%,0.00%,0.40%,1.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,414","28,469",,,"18,424","14,976","24,607","48,867","28,755","19,238"
"Cannon County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"14,661","13,797",,,352,31,0,3,92,428
    Percent Distribution,,,,,,,,,,
        Estimate,"14,661",94.10%,,,2.40%,0.20%,0.00%,0.00%,0.60%,2.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,745","29,839",,,"10,616","82,019",-,-,"37,170","31,946"
"Carroll County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"28,461","24,395",,,"2,533",38,79,0,143,849
    Percent Distribution,,,,,,,,,,
        Estimate,"28,461",85.70%,,,8.90%,0.10%,0.30%,0.00%,0.50%,3.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,126","28,393",,,"21,904","21,700","14,791",-,"31,140","19,176"
"Carter County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"56,462","53,247",,,"1,151",76,142,19,351,"1,327"
    Percent Distribution,,,,,,,,,,
        Estimate,"56,462",94.30%,,,2.00%,0.10%,0.30%,0.00%,0.60%,2.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,232","29,795",,,"17,893","19,821","47,783",N,"20,324","19,577"
"Cheatham County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"41,500","37,534",,,973,83,270,10,803,"1,903"
    Percent Distribution,,,,,,,,,,
        Estimate,"41,500",90.40%,,,2.30%,0.20%,0.70%,0.00%,1.90%,4.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"38,581","39,877",,,"30,929","19,604","35,709",N,"23,149","30,033"
"Chester County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"17,452","14,842",,,"1,713",31,31,0,244,546
    Percent Distribution,,,,,,,,,,
        Estimate,"17,452",85.00%,,,9.80%,0.20%,0.20%,0.00%,1.40%,3.10%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,480","28,637",,,"20,155",N,N,-,"26,818","15,349"
"Claiborne County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"32,221","30,563",,,237,13,256,0,20,516
    Percent Distribution,,,,,,,,,,
        Estimate,"32,221",94.90%,,,0.70%,0.00%,0.80%,0.00%,0.10%,1.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,552","28,119",,,"15,709","16,031","18,797",-,N,"20,272"
"Clay County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"7,621","7,199",,,72,17,73,0,130,154
    Percent Distribution,,,,,,,,,,
        Estimate,"7,621",94.50%,,,0.90%,0.20%,1.00%,0.00%,1.70%,2.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"23,401","23,810",,,"14,881",N,N,-,N,"13,896"
"Cocke County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"36,503","34,142",,,553,175,183,28,201,"1,066"
    Percent Distribution,,,,,,,,,,
        Estimate,"36,503",93.50%,,,1.50%,0.50%,0.50%,0.10%,0.60%,2.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,442","28,119",,,"28,484","15,271","11,251",N,"21,077","23,328"
"Coffee County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"58,940","51,589",,,"2,407",12,744,20,"1,032","3,527"
    Percent Distribution,,,,,,,,,,
        Estimate,"58,940",87.50%,,,4.10%,0.00%,1.30%,0.00%,1.80%,6.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,543","30,967",,,"18,103","9,383","28,762","32,630","24,209","18,699"
"Crockett County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"13,937","10,245",,,"1,493",97,66,11,692,"1,560"
    Percent Distribution,,,,,,,,,,
        Estimate,"13,937",73.50%,,,10.70%,0.70%,0.50%,0.10%,5.00%,11.20%
    Mean income (dollars),,,,,,,,,,
        Estimate,"32,495","33,243",,,"46,879",N,"66,320",N,"17,630","21,336"
"Cumberland County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"62,529","59,368",,,693,71,222,275,210,"2,106"
    Percent Distribution,,,,,,,,,,
        Estimate,"62,529",94.90%,,,1.10%,0.10%,0.40%,0.40%,0.30%,3.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"32,517","33,074",,,"11,969","16,538","30,239",N,"26,713","18,213"
"Davidson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"709,846","404,978",,,"178,861","2,385","24,115",350,"34,417","96,481"
    Percent Distribution,,,,,,,,,,
        Estimate,"709,846",57.10%,,,25.20%,0.30%,3.40%,0.00%,4.80%,13.60%
    Mean income (dollars),,,,,,,,,,
