city,data_level,county_pop,patients_per_1000,facility_class,uninsured_rate,total_patients,expenses_vs_pci_2023,expenses_vs_pci_2021,pci_2023,lat_pop,lng_pop,totaloutpatientvisits,pci_2022,patients_vs_pci_2022,zips_pop,total_uninsured_patients,er_share,expenses_per_capita,inpatient_days_per_patient,year,charges_per_patient,facility_name,facilities_per_100k,totalervisits,lng,num_facilities,total_expenses,patients_vs_pci_2023,patients_vs_pci_2021,facility_id,profit_margin,net_profit_loss,county_fips,totalinpatientdays,expenses_vs_pci_2022,pci_2021,pci_2021_income,pci_2022_income,facility_group,lat,zips,county,pci_2023_income,city_pop
,facility,,,Other Nonprofit Corp,0.0,8637,,,,,,129415,,,,0.0,0.0,,5.19,2021,0.0,Methodist Medical Center of Oak Ridge,,0,,,0.0,,,179,0.0,0.0,,44835,,,,,NonGovermental Not-For-Profit,,,Anderson,,
,facility,,,0,0.0,714,,,,,,88304,,,,0.0,0.0,,4.29,2021,0.0,Ridgeview Psychiatric Hospital and Center,,0,,,0.0,,,180,0.0,0.0,,3063,,,,,0,,,Anderson,,
,facility,,,Other Not-For-profit,0.0,857,,,,,,67614,,,,0.0,0.0,,3.12,2021,0.0,Vanderbilt Bedford Hospital,,0,,,0.0,,,181,0.0,0.0,,2671,,,,,NonGovermental Not-For-Profit,,,Bedford,,
,facility,,,Hospital District or Authority,0.0,271,,,,,,9531,,,,0.0,0.0,,5.0,2021,0.0,West Tennessee Healthcare Camden Hospital,,0,,,0.0,,,182,0.0,0.0,,1355,,,,,Goverment Non-Federal,,,Benton,,
,facility,,,Hospital District or Authority,0.0,195,,,,,,12423,,,,0.0,0.42,,8.41,2021,0.0,Erlanger Bledsoe Hospital,,9060,,,0.0,,,183,0.0,0.0,,1639,,,,,Goverment Non-Federal,,,Bledsoe,,
,facility,,,County,0.0,10360,,,,,,389400,,,,0.0,0.0,,4.49,2021,0.0,Blount Memorial Hospital,,0,,,0.0,,,184,0.0,0.0,,46485,,,,,Goverment Non-Federal,,,Blount,,
,facility,,,Other Nonprofit Corp,0.0,3559,,,,,,83007,,,,0.0,0.0,,6.66,2021,0.0,Peninsula Hospital,,0,,,0.0,,,185,0.0,0.0,,23711,,,,,NonGovermental Not-For-Profit,,,Blount,,
,facility,,,Corporation,0.0,8276,,,,,,88800,,,,0.0,0.0,,5.09,2021,0.0,Tennova HealthCare - Cleveland,,0,,,0.0,,,186,0.0,0.0,,42112,,,,,Investor-Owned For-Profit,,,Bradley,,
,facility,,,Corporation,0.0,1160,,,,,,4709,,,,0.0,0.0,,5.61,2021,0.0,Tennova HealthCare - Cleveland Westside,,0,,,0.0,,,187,0.0,0.0,,6504,,,,,Investor-Owned For-Profit,,,Bradley,,
,facility,,,Corporation,0.0,1494,,,,,,54466,,,,0.0,0.0,,7.63,2021,0.0,Tennova Healthcare - LaFollette Medical Center,,0,,,0.0,,,188,0.0,0.0,,11401,,,,,Investor-Owned For-Profit,,,Campbell,,
,facility,,,Other Nonprofit Corp,0.0,809,,,,,,5799,,,,0.0,0.0,,5.89,2021,0.0,"Saint Thomas Stones River Hospital, LLC.",,0,,,0.0,,,190,0.0,0.0,,4763,,,,,NonGovermental Not-For-Profit,,,Cannon,,
,facility,,,Other Nonprofit Corp,0.0,1201,,,,,,42112,,,,0.0,0.0,,5.98,2021,0.0,Baptist Memorial Hospital - Carroll County,,0,,,0.0,,,191,0.0,0.0,,7186,,,,,NonGovermental Not-For-Profit,,,Carroll,,
,facility,,,Other Nonprofit Corp,0.0,3546,,,,,,58203,,,,0.0,0.0,,4.37,2021,0.0,Sycamore Shoals Hospital,,0,,,0.0,,,193,0.0,0.0,,15489,,,,,NonGovermental Not-For-Profit,,,Carter,,
,facility,,,Corporation,0.0,0,,,,,,15949,,,,0.0,0.0,,0.0,2021,0.0,TriStar Ashland City Medical Center,,0,,,0.0,,,194,0.0,0.0,,0,,,,,Investor-Owned For-Profit,,,Cheatham,,
,facility,,,Other Nonprofit Corp,0.0,1157,,,,,,36464,,,,0.0,0.0,,4.82,2021,0.0,Claiborne Medical Center,,0,,,0.0,,,195,0.0,0.0,,5580,,,,,NonGovermental Not-For-Profit,,,Claiborne,,
,facility,,,0,0.0,0,,,,,,0,,,,0.0,0.0,,0.0,2021,0.0,Cumberland River Hospital,,0,,,0.0,,,196,0.0,0.0,,0,,,,,0,,,Clay,,
