county,median_income,hispanic_pct,black_pct,poverty_pct,ba_plus_pct,county_fips,year,urban_rural
Bedford,55354,13.2,6.6,13.6,18,47003,2021,Rural
Benton,40258,2.4,2.1,18.1,12.1,47005,2021,Rural
Bledsoe,51884,2.8,7.5,21.1,11.1,47007,2021,Rural
Campbell,46110,1.6,0.3,19,13.2,47013,2021,Rural
Cannon,54223,2.6,2.4,17.2,15,47015,2021,Rural
Carroll,44794,3,8.5,17.4,20.3,47017,2021,Rural
Cheatham,69132,3.6,1.5,10.2,22,47021,2021,Rural
Chester,52692,2.8,10.3,17.6,17,47023,2021,Rural
Claiborne,41938,1.4,0.8,19,18.3,47025,2021,Rural
Clay,38709,1.7,2,24,13.1,47027,2021,Rural
Cocke,41558,2.7,1.3,20.3,12.3,47029,2021,Rural
Coffee,52626,4.9,3.7,16,22.8,47031,2021,Rural
Crockett,52136,11.2,13.2,16.5,15.5,47033,2021,Rural
Cumberland,52630,3.1,0.6,12.9,17.3,47035,2021,Rural
Decatur,43817,3.4,2.5,19.3,15.8,47039,2021,Rural
DeKalb,45728,8.3,1.7,18.4,19.5,47041,2021,Rural
Dickson,61388,3.9,3.5,10.8,18.5,47043,2021,Rural
Dyer,50245,3.6,12.8,17.4,20.2,47045,2021,Rural
Fayette,69729,3,27.1,11.8,23.6,47047,2021,Rural
Fentress,43464,1.7,0.3,20.5,16,47049,2021,Rural
Franklin,52189,3.6,4.9,14.6,21.7,47051,2021,Rural
Gibson,49615,2.9,16.3,14.5,18.2,47053,2021,Rural
Giles,54061,3.2,10,13.1,18.3,47055,2021,Rural
Grainger,44917,3.5,0.3,16.5,14,47057,2021,Rural
Greene,47361,3.1,1.7,15.7,17,47059,2021,Rural
Grundy,45150,1.5,0.3,17.2,14.8,47061,2021,Rural
Hancock,29650,1.8,0.4,29.1,11.1,47067,2021,Rural
Hardeman,41138,1.9,40.7,16.6,11.4,47069,2021,Rural
Hardin,45092,2.5,3.7,17.6,16.2,47071,2021,Rural
Hawkins,49101,1.6,1.4,17.6,16.2,47073,2021,Rural
Haywood,39952,4.4,50.3,20.7,11.8,47075,2021,Rural
Henderson,47885,2.6,8.1,16.7,13.6,47077,2021,Rural
