city,county_fips,county,lat,lng,zips
Oak Ridge,47001,Anderson,35.9639,-84.2938,37830
Clinton,47001,Anderson,36.0981,-84.1283,37716
Oliver Springs,47001,Anderson,36.0399,-84.3285,37840
Rocky Top,47001,Anderson,36.225,-84.1548,37769
Norris,47001,Anderson,36.2137,-84.0629,37705
Andersonville,47001,Anderson,36.197,-84.033,37705
Briceville,47001,Anderson,36.1777,-84.1837,37710
Shelbyville,47003,Bedford,35.4987,-86.4517,37160
Unionville,47003,Bedford,35.6117,-86.5739,37160
Wartrace,47003,Bedford,35.5253,-86.3301,37183
Bell Buckle,47003,Bedford,35.5908,-86.3538,37020
Normandy,47003,Bedford,35.4523,-86.2582,37360
Camden,47005,Benton,36.0663,-88.1047,38320
Big Sandy,47005,Benton,36.2327,-88.085,38221
Eva,47005,Benton,36.0687,-88.0081,38333
Holladay,47005,Benton,35.872,-88.1449,38341
Pikeville,47007,Bledsoe,35.6027,-85.1984,37367
Maryville,47009,Blount,35.7468,-83.9789,37804
Alcoa,47009,Blount,35.8076,-83.9753,37701
Eagleton Village,47009,Blount,35.7882,-83.9363,37804
Louisville,47009,Blount,35.8247,-84.0552,37777
Wildwood,47009,Blount,35.7999,-83.8685,37804
Friendsville,47009,Blount,35.7563,-84.1319,37737
Rockford,47009,Blount,35.8328,-83.9358,37853
Townsend,47009,Blount,35.6763,-83.7529,37882
Walland,47009,Blount,35.732,-83.8069,37886
Cleveland,47011,Bradley,35.1817,-84.8707,37312
South Cleveland,47011,Bradley,35.1096,-84.9097,37311
Wildwood Lake,47011,Bradley,35.0893,-84.8512,37323
Hopewell,47011,Bradley,35.2388,-84.9139,37312
East Cleveland,47011,Bradley,35.1524,-84.8541,37311
Charleston,47011,Bradley,35.2862,-84.7611,37310
McDonald,47011,Bradley,35.1088,-84.9853,37353
La Follette,47013,Campbell,36.3718,-84.1256,37766
Jacksboro,47013,Campbell,36.3351,-84.1928,37757
Caryville,47013,Campbell,36.3252,-84.2199,37714
Jellico,47013,Campbell,36.5651,-84.1355,37847
Fincastle,47013,Campbell,36.4038,-84.048,37766
Woodbury,47015,Cannon,35.8247,-86.0723,37190
Auburntown,47015,Cannon,35.9511,-86.0969,37016
McKenzie,47017,Carroll,36.1372,-88.5077,38201
Huntingdon,47017,Carroll,36.0052,-88.4181,38344
Bruceton,47017,Carroll,36.0349,-88.2466,38317
Atwood,47017,Carroll,35.9747,-88.6689,38220
Trezevant,47017,Carroll,36.011,-88.6206,38258
Clarksburg,47017,Carroll,35.8705,-88.3937,38390
Hollow Rock,47017,Carroll,36.0355,-88.274,38342
McLemoresville,47017,Carroll,35.9863,-88.58,38235
Lavinia,47017,Carroll,35.8508,-88.6527,38348
Yuma,47017,Carroll,35.8438,-88.3372,38390
Elizabethton,47019,Carter,36.3367,-82.237,37643
Pine Crest,47019,Carter,36.2965,-82.3106,37601
Biltmore,47019,Carter,36.3675,-82.2243,37643
Hunter,47019,Carter,36.3978,-82.1511,37643
Central,47019,Carter,36.3289,-82.294,37601
Valley Forge,47019,Carter,36.3043,-82.1948,37643
Hampton,47019,Carter,36.2772,-82.1728,37658
Roan Mountain,47019,Carter,36.1866,-82.0706,37687
Watauga,47019,Carter,36.3687,-82.2919,37694
Ashland City,47021,Cheatham,36.2607,-87.0412,37015
Pleasant View,47021,Cheatham,36.3893,-87.0455,37015
Kingston Springs,47021,Cheatham,36.0842,-87.1039,37082
Pegram,47021,Cheatham,36.1037,-87.0565,37143
Henderson,47023,Chester,35.4446,-88.6531,38340
Milledgeville,47023,Chester,35.3776,-88.366,38332
Enville,47023,Chester,35.3911,-88.4303,38332
Jacks Creek,47023,Chester,35.4691,-88.5146,38347
Harrogate,47025,Claiborne,36.5752,-83.6462,37752
Tazewell,47025,Claiborne,36.4625,-83.5669,37879
