"Label (Grouping)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)"
"Anderson County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","76,683","68,348","2,395","270","1,069","57","1,029","2,492"
"    Percent Distribution","","","","","","","",""
"        Estimate","76,683","89.1%","3.1%","0.4%","1.4%","0.1%","1.3%","3.2%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","30,544","31,380","25,613","15,524","46,229","N","17,773","19,622"
"Bedford County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","49,754","41,861","3,270","470","124","17","1,471","6,591"
"    Percent Distribution","","","","","","","",""
"        Estimate","49,754","84.1%","6.6%","0.9%","0.2%","0.0%","3.0%","13.2%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","26,361","27,820","22,203","3,058","21,749","N","11,639","15,112"
"Benton County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","15,872","14,917","331","26","138","0","0","382"
"    Percent Distribution","","","","","","","",""
"        Estimate","15,872","94.0%","2.1%","0.2%","0.9%","0.0%","0.0%","2.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,313","24,519","33,680","N","11,330","-","-","7,551"
"Bledsoe County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","14,863","13,292","1,115","49","29","0","40","414"
"    Percent Distribution","","","","","","","",""
"        Estimate","14,863","89.4%","7.5%","0.3%","0.2%","0.0%","0.3%","2.8%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,101","24,784","17,158","10,557","N","-","9,158","19,648"
"Blount County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","134,042","123,656","3,215","84","1,032","163","604","4,910"
"    Percent Distribution","","","","","","","",""
"        Estimate","134,042","92.3%","2.4%","0.1%","0.8%","0.1%","0.5%","3.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","33,726","34,269","33,143","25,546","36,994","30,318","14,373","24,735"
"Bradley County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","107,845","94,425","5,431","243","1,244","21","2,803","7,174"
"    Percent Distribution","","","","","","","",""
"        Estimate","107,845","87.6%","5.0%","0.2%","1.2%","0.0%","2.6%","6.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","28,531","29,286","21,182","24,664","52,349","N","18,708","20,483"
"Campbell County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","39,388","37,998","111","31","178","0","207","621"
"    Percent Distribution","","","","","","","",""
"        Estimate","39,388","96.5%","0.3%","0.1%","0.5%","0.0%","0.5%","1.6%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,918","25,062","26,721","25,335","17,763","-","23,270","16,410"
"Cannon County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","14,309","13,617","343","18","0","2","47","367"
"    Percent Distribution","","","","","","","",""
"        Estimate","14,309","95.2%","2.4%","0.1%","0.0%","0.0%","0.3%","2.6%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","28,160","28,159","23,786","64,317","-","-","30,530","22,085"
"Carroll County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","28,370","24,438","2,447","30","147","30","173","862"
"    Percent Distribution","","","","","","","",""
"        Estimate","28,370","86.1%","8.6%","0.1%","0.5%","0.1%","0.6%","3.0%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,315","25,529","19,135","8,450","16,433","N","30,199","16,205"
"Carter County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","56,314","53,736","1,059","57","169","16","215","1,171"
"    Percent Distribution","","","","","","","",""
"        Estimate","56,314","95.4%","1.9%","0.1%","0.3%","0.0%","0.4%","2.1%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","25,267","25,688","16,046","13,053","34,712","N","3,674","13,893"
"Cheatham County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","40,878","37,935","604","137","245","13","564","1,477"
"    Percent Distribution","","","","","","","",""
"        Estimate","40,878","92.8%","1.5%","0.3%","0.6%","0.0%","1.4%","3.6%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","31,832","32,550","33,390","13,365","28,400","N","20,754","21,051"
"Chester County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","17,278","14,869","1,776","0","74","0","73","487"
"    Percent Distribution","","","","","","","",""
"        Estimate","17,278","86.1%","10.3%","0.0%","0.4%","0.0%","0.4%","2.8%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","22,387","23,647","16,153","-","13,168","-","N","13,361"
"Claiborne County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","31,958","30,524","264","47","268","0","14","459"
"    Percent Distribution","","","","","","","",""
"        Estimate","31,958","95.5%","0.8%","0.1%","0.8%","0.0%","0.0%","1.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,204","24,720","14,008","12,838","1,154","-","N","16,097"
"Clay County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","7,568","7,144","149","28","44","0","104","129"
"    Percent Distribution","","","","","","","",""
"        Estimate","7,568","94.4%","2.0%","0.4%","0.6%","0.0%","1.4%","1.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","21,602","22,082","5,744","N","N","-","N","9,102"
"Cocke County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","35,896","33,839","711","249","186","39","47","981"
"    Percent Distribution","","","","","","","",""
"        Estimate","35,896","94.3%","2.0%","0.7%","0.5%","0.1%","0.1%","2.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","23,517","23,589","17,603","14,654","8,784","N","16,149","17,630"
"Coffee County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","57,227","51,327","2,184","21","709","15","934","2,809"
"    Percent Distribution","","","","","","","",""
"        Estimate","57,227","89.7%","3.8%","0.0%","1.2%","0.0%","1.6%","4.9%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","27,539","28,579","17,721","14,381","26,841","N","13,810","16,485"
"Crockett County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","14,012","10,635","1,856","38","47","15","632","1,569"
"    Percent Distribution","","","","","","","",""
"        Estimate","14,012","75.9%","13.2%","0.3%","0.3%","0.1%","4.5%","11.2%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","26,044","28,010","23,473","3,029","52,943","N","10,993","20,477"
"Cumberland County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","60,568","58,311","539","244","154","0","152","1,895"
"    Percent Distribution","","","","","","","",""
"        Estimate","60,568","96.3%","0.9%","0.4%","0.3%","0.0%","0.3%","3.1%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","28,255","28,618","8,118","20,187","29,182","-","28,980","12,620"
"Davidson County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","708,490","432,984","188,857","1,202","24,969","310","25,450","73,908"
"    Percent Distribution","","","","","","","",""
"        Estimate","708,490","61.1%","26.7%","0.2%","3.5%","0.0%","3.6%","10.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","40,962","49,326","26,832","46,882","42,017","18,207","18,463","20,457"
"Decatur County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","11,460","10,578","292","8","14","0","74","392"
"    Percent Distribution","","","","","","","",""
"        Estimate","11,460","92.3%","2.5%","0.1%","0.1%","0.0%","0.6%","3.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","26,075","27,082","16,201","N","N","-","6,855","11,395"
"DeKalb County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","19,875","18,132","347","93","114","0","602","1,648"
"    Percent Distribution","","","","","","","",""
"        Estimate","19,875","91.2%","1.7%","0.5%","0.6%","0.0%","3.0%","8.3%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","25,625","26,311","17,235","-","19,561","-","15,690","15,630"
"Dickson County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","54,000","49,262","1,941","110","273","0","454","2,101"
"    Percent Distribution","","","","","","","",""
"        Estimate","54,000","91.2%","3.6%","0.2%","0.5%","0.0%","0.8%","3.9%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","30,897","32,006","22,882","28,588","19,040","-","28,990","19,478"
"Dyer County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","36,975","29,568","4,831","94","191","9","385","1,348"
"    Percent Distribution","","","","","","","",""
"        Estimate","36,975","80.0%","13.1%","0.3%","0.5%","0.0%","1.0%","3.6%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","32,793","33,680","20,539","29,109","38,096","N","46,645","74,901"
"Fayette County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","41,584","28,242","11,331","210","287","0","830","1,250"
"    Percent Distribution","","","","","","","",""
"        Estimate","41,584","67.9%","27.2%","0.5%","0.7%","0.0%","2.0%","3.0%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","37,049","43,828","22,057","7,145","43,382","-","23,995","21,065"
"Fentress County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","18,385","17,721","52","60","56","31","65","320"
"    Percent Distribution","","","","","","","",""
